accountid,name,accountnumber,industrycode,customertypecode,address1_stateorprovince,address1_country,territoryid,ownerid,paymenttermscode,creditlimit,transactioncurrencyid,originatingleadid,createdon,modifiedon,statecode,statuscode
09a0a0f6-73b0-4091-b634-c1694f76e388,Hoda Greenhouse Structures Ltd.,ACC-000001,100000006,3,Khuzestan,Iran,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,100000000,5600000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2022-02-12T11:43:00Z,2022-02-12T11:43:00Z,0,1
497de16d-d4ea-420a-9e65-96540e9058b6,Kimia Metal Center Industries,ACC-000002,100000004,3,Khuzestan,Iran,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,1,77000000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2019-08-28T12:53:00Z,2019-08-28T12:53:00Z,0,1
fa34d2e8-dd3f-4d7e-a508-dc9513a4a492,Hoda Builders Co.,ACC-000003,100000000,3,Khorasan Razavi,Iran,ab9099a4-35a2-40ae-9af3-05535ec42e08,24933b83-7577-40a9-a491-f0b2ea1fca65,4,16100000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2021-04-28T04:56:00Z,2021-04-28T04:56:00Z,0,1
98159d6c-9d71-4084-971d-abf9daf481a7,Pishgam Steel Structures Ltd.,ACC-000004,100000001,3,Fars,Iran,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1,6400000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2021-12-27T09:16:00Z,2021-12-27T09:16:00Z,0,1
949077c2-7674-456f-a26d-719d81cf3252,Rastin Rail & Road Projects Ltd.,ACC-000005,100000005,3,Tehran,Iran,7412b293-4729-4739-a14f-f3d719db3ad0,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,100000001,81300000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2022-01-13T07:37:00Z,2022-01-13T07:37:00Z,0,1
bd29ede9-cab4-423b-b448-83858de7ad6c,Nima Steel Structures Group,ACC-000006,100000001,3,East Azerbaijan,Iran,aefcfad8-efc8-4849-b3aa-7efe4458a885,beb79919-3f22-4af8-a3be-d01d43cf2fde,4,15900000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2023-11-06T10:36:00Z,2023-11-06T10:36:00Z,0,1
e8b77f7b-7321-4f6b-8a80-76ece5582e16,Kimia Contracting Industries,ACC-000007,100000000,3,Khorasan Razavi,Iran,ab9099a4-35a2-40ae-9af3-05535ec42e08,24933b83-7577-40a9-a491-f0b2ea1fca65,4,21200000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2023-04-17T08:10:00Z,2023-04-17T08:10:00Z,0,1
30307633-a6de-41d8-9258-17b7cf501889,Saba Pipe & Profile Industries,ACC-000008,100000002,3,Tehran,Iran,7412b293-4729-4739-a14f-f3d719db3ad0,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,1,44700000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2022-05-23T08:57:00Z,2022-05-23T08:57:00Z,0,1
80599b93-79c2-42e4-9ae1-a991524f93ff,Ilia Press Works Co.,ACC-000009,100000003,3,Alborz,Iran,7412b293-4729-4739-a14f-f3d719db3ad0,5304317f-af42-412f-b838-b3268e944239,4,18200000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2020-06-04T07:12:00Z,2020-06-04T07:12:00Z,0,1
73557b9d-0fd6-447e-b52d-4af2269ed4c9,Ofogh Dam & Water Works Ltd.,ACC-000010,100000005,3,Tehran,Iran,7412b293-4729-4739-a14f-f3d719db3ad0,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,100000001,48900000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2023-03-05T13:19:00Z,2023-03-05T13:19:00Z,0,1
d65e59dd-e62d-4d06-8f9b-85581a7f195b,Saba Metals Supply Co.,ACC-000011,100000004,3,Tehran,Iran,7412b293-4729-4739-a14f-f3d719db3ad0,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,100000000,68700000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2020-06-28T09:49:00Z,2020-06-28T09:49:00Z,0,1
15969802-b6dd-4257-bb7d-9f1c57eb89b1,Kavir Sabz Foolad Trading Co.,ACC-000012,100000004,3,Khuzestan,Iran,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,100000000,93000000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2023-10-15T05:02:00Z,2023-10-15T05:02:00Z,0,1
0a0537f0-2c2c-422b-a568-95c6812a1f9b,Omid Iron & Steel Supply Co.,ACC-000013,100000004,3,Fars,Iran,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1,101400000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2022-05-12T10:34:00Z,2022-05-12T10:34:00Z,0,1
fdb1429e-7010-4d13-b526-b22d3f6c21f7,Gilan Greenhouse Structures Co.,ACC-000014,100000006,3,Isfahan,Iran,29a3b2e9-5d65-4441-9588-42dea2bc372f,9132b63e-f162-47e4-a9c3-49e03602f8ac,100000000,6000000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,,2022-03-24T08:20:00Z,2022-03-24T08:20:00Z,0,1
