ahn_pipelinesnapshotid,ahn_snapshotdate,ahn_opportunityid,ownerid,ahn_stepname,ahn_closeprobability,ahn_estimatedvalue,ahn_forecastcategory,ahn_estimatedclosedate
245af1fa-43ce-4906-9645-5819cd3dc01a,2024-07-09,ff40abae-3c22-45fb-b75e-aba38f43a702,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1-Qualify,35,54296100000.0,100000001,2024-07-25
cdf22607-3746-47fd-9c88-b791aea5a3bf,2024-07-13,ff40abae-3c22-45fb-b75e-aba38f43a702,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,80,54296100000.0,100000003,2024-07-25
d2f2d6e0-7317-408a-89e7-31e978e6c905,2024-07-20,ff40abae-3c22-45fb-b75e-aba38f43a702,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,85,54296100000.0,100000003,2024-07-25
9198f5ee-d3ec-4ff3-bfb2-bff12d3204bb,2024-07-27,ff40abae-3c22-45fb-b75e-aba38f43a702,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,75,54296100000.0,100000003,2024-07-25
a18001e4-2ce8-48c9-942b-37673a488c5e,2024-08-03,ff40abae-3c22-45fb-b75e-aba38f43a702,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,85,54296100000.0,100000003,2024-07-25
fd46c0d5-685b-4640-af6b-cc5024d55a30,2024-08-10,ff40abae-3c22-45fb-b75e-aba38f43a702,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,75,54296100000.0,100000003,2024-07-25
9f420db4-80d8-4ed8-b410-f21fb94a6812,2024-08-17,ff40abae-3c22-45fb-b75e-aba38f43a702,e27a984d-6548-41d0-bfcd-9eb1a7cad415,4-Close,95,54296100000.0,100000003,2024-07-25
53e601ac-9211-4260-9fc0-bf104740143d,2024-08-24,ff40abae-3c22-45fb-b75e-aba38f43a702,e27a984d-6548-41d0-bfcd-9eb1a7cad415,4-Close,95,54296100000.0,100000003,2024-07-25
9df7a72f-fdfc-4b51-882f-dccf15e18488,2024-07-11,203f074e-e041-4805-bdce-29756aa57f33,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1-Qualify,35,40159600000.0,100000001,2024-07-27
80997a23-9c99-4061-987a-d8e9d43a0225,2024-07-13,203f074e-e041-4805-bdce-29756aa57f33,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,80,40159600000.0,100000003,2024-07-27
aac57e20-e8f4-4672-a170-a0c61ad545b4,2024-07-20,203f074e-e041-4805-bdce-29756aa57f33,e27a984d-6548-41d0-bfcd-9eb1a7cad415,4-Close,95,40159600000.0,100000003,2024-07-27
c6f2e52c-0cd8-45f9-91f1-27752560a5c5,2024-07-13,9ffe17f6-04f8-4fca-8345-1edb0ff95a14,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,3-Propose,70,22740900000.0,100000002,2024-07-29
dd769216-9e55-497e-a471-262f18a96290,2024-07-20,9ffe17f6-04f8-4fca-8345-1edb0ff95a14,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,3-Propose,70,22740900000.0,100000002,2024-07-29
dfae6b2d-c6fe-462e-b006-58ed94168bf7,2024-07-27,9ffe17f6-04f8-4fca-8345-1edb0ff95a14,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,4-Close,85,22740900000.0,100000003,2024-07-29
b8b78255-d037-4baf-ad14-96256cdc0693,2024-07-13,18baf38f-5c8a-45a0-80ec-1632714d901d,9132b63e-f162-47e4-a9c3-49e03602f8ac,1-Qualify,45,235558500000.0,100000001,2024-07-29
f34b950c-bc46-4bfe-b308-1b5a0130f301,2024-07-20,18baf38f-5c8a-45a0-80ec-1632714d901d,9132b63e-f162-47e4-a9c3-49e03602f8ac,3-Propose,85,235558500000.0,100000003,2024-07-29
52de7a0f-76db-497f-93f3-f116574d7ebd,2024-07-27,18baf38f-5c8a-45a0-80ec-1632714d901d,9132b63e-f162-47e4-a9c3-49e03602f8ac,3-Propose,80,235558500000.0,100000003,2024-07-29
9330b631-a433-4450-a620-fcffd80582d9,2024-08-03,18baf38f-5c8a-45a0-80ec-1632714d901d,9132b63e-f162-47e4-a9c3-49e03602f8ac,4-Close,95,235558500000.0,100000003,2024-07-29
7416e778-00fa-44a4-a889-f38a2275a6af,2024-07-20,4e09110d-be6e-4244-a526-4d3b67f6730a,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,1-Qualify,45,11102000000.0,100000001,2024-08-05
92c719e3-bca0-40eb-b17c-aae527b0ecfb,2024-07-27,4e09110d-be6e-4244-a526-4d3b67f6730a,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,3-Propose,80,11102000000.0,100000003,2024-08-05
b1ef7818-948e-4270-aec0-e91d37a1c676,2024-07-27,eff06023-6929-4548-8678-ba620de14b43,9132b63e-f162-47e4-a9c3-49e03602f8ac,1-Qualify,50,5090300000.0,100000002,2024-08-12
5718a215-8232-4970-9b93-b1d0aa17025d,2024-08-03,eff06023-6929-4548-8678-ba620de14b43,9132b63e-f162-47e4-a9c3-49e03602f8ac,2-Develop,75,5090300000.0,100000003,2024-08-12
cb002a21-92c7-47b6-b590-ceea9275328c,2024-07-30,1037c4cc-c9ab-4d20-a7dd-0b0aff3490a4,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1-Qualify,45,14728300000.0,100000001,2024-08-15
1aa8fcd7-afb0-4328-98f3-25c0cc77f138,2024-08-03,1037c4cc-c9ab-4d20-a7dd-0b0aff3490a4,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,70,14728300000.0,100000002,2024-08-15
7347ab8f-3c07-46be-8a10-a7fad8f8cb0a,2024-08-10,1037c4cc-c9ab-4d20-a7dd-0b0aff3490a4,e27a984d-6548-41d0-bfcd-9eb1a7cad415,4-Close,95,14728300000.0,100000003,2024-08-15
eb978960-1b55-43a7-b20a-96c59ae45979,2024-08-03,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,70,252712100000.0,100000002,2024-08-19
baca678d-3fb1-4bdc-927e-85434d6c8a7b,2024-08-10,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,70,252712100000.0,100000002,2024-08-19
3347686f-198d-49ed-96b5-d4906b111b61,2024-08-17,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,75,252712100000.0,100000003,2024-08-19
f762bebf-846d-4318-abaf-6a88378c5044,2024-08-24,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,70,252712100000.0,100000002,2024-08-19
3918efdc-c964-48c4-9c69-1f656f019e2c,2024-08-31,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,70,252712100000.0,100000002,2024-08-19
4a71046d-b13c-48e1-b748-390c6a0ddc18,2024-09-07,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,70,252712100000.0,100000002,2024-08-19
