ahn_shipmentid,ahn_name,ahn_salesorderid,ahn_customerid,ahn_warehouse,ahn_sourcing,ahn_carrier,ahn_orderedtons,ahn_loadedtons,ahn_truckloads,ahn_stockreadyon,ahn_loadedon,ahn_dispatchedon,ahn_deliveredon,ahn_waybillnumber,ahn_podreceived,createdon,statecode,statuscode
2bf5c7d5-a04f-4301-9188-84af2be0c133,SHP-000001,cca743fd-96eb-4756-8684-3d56804d5d33,4d4f6a43-edf4-41b5-80a3-d4f68811fcc6,100000005,100000000,100000002,120.0,119.91,5,2024-07-20T09:45:46Z,2024-07-20T21:19:58Z,2024-07-20T22:01:42Z,2024-07-21T04:47:00Z,WB-000001,True,2024-07-20T07:37:00Z,1,2
7c568415-e110-4301-819a-491bbcd39976,SHP-000002,16572edb-b5b6-4d38-953c-47021e61d2ba,1d96dc53-2344-4c54-8cae-f9ec6d44f723,100000000,100000000,100000002,35.0,34.98,2,2024-07-29T12:49:41Z,2024-08-03T00:45:04Z,2024-08-03T01:15:39Z,2024-08-03T05:45:00Z,WB-000002,True,2024-07-29T12:00:00Z,1,2
10a7dd62-dfa9-46c0-85e6-38c247d7e1ed,SHP-000003,8d4cdaa5-719c-4657-a38c-ebb36084004a,144be8bc-e207-4595-be20-9925a72427a6,100000000,100000000,100000000,35.0,35.07,2,2024-08-15T05:40:03Z,2024-08-18T02:59:17Z,2024-08-18T03:39:24Z,2024-08-18T10:23:00Z,WB-000003,True,2024-08-15T05:21:00Z,1,2
6d19c2cb-c377-479c-8181-c14e5b84befe,SHP-000004,7259397c-1f14-413c-86d6-c31ba0bc3c69,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,100000001,100000000,100000000,35.0,34.92,2,2024-09-26T07:25:09Z,2024-10-02T19:16:00Z,2024-10-02T20:45:13Z,2024-10-03T12:00:00Z,WB-000004,True,2024-09-26T06:37:00Z,1,2
94940765-b6e4-4fe2-ba43-027ad9541a6f,SHP-000005,5cd0359f-1a40-4446-a87b-cdebce03d4c0,f204be89-4a4b-4563-8cf4-77ef18c8a616,100000000,100000000,100000000,45.0,44.87,2,2024-09-26T09:55:04Z,2024-10-02T06:56:39Z,2024-10-02T07:59:13Z,2024-10-02T11:18:00Z,WB-000005,True,2024-09-26T07:19:00Z,1,2
36d689ac-8454-4a6d-b816-5d63f14c32f4,SHP-000006,4abf432e-5943-4127-b073-01a4ae7d7081,d57a1134-c82f-48db-9bc6-9dfca6a148c3,100000000,100000000,100000000,10.0,9.97,1,2024-09-11T13:20:57Z,2024-09-17T22:59:28Z,2024-09-17T23:54:37Z,2024-09-18T06:36:00Z,WB-000006,True,2024-09-11T11:06:00Z,1,2
73931d4e-3404-41de-b49b-bbcdc341df8e,SHP-000007,fe598823-53a4-45b6-b2b3-6c45d525e946,c0d4173b-aa58-40e6-86ef-a55196d0ae38,100000000,100000001,100000000,10.0,9.98,1,2024-09-16T20:30:22Z,2024-09-18T21:33:12Z,2024-09-18T22:26:16Z,2024-09-19T12:28:00Z,WB-000007,True,2024-09-12T11:09:00Z,1,2
51e8300d-06ad-401f-a469-66f41ac3dcd8,SHP-000008,d549eee9-0939-412a-91fd-788a457ca8bc,83aabf08-2024-45b5-98d0-5a5948724928,100000000,100000000,100000002,10.0,10.0,1,2024-09-10T13:52:42Z,2024-09-10T21:35:12Z,2024-09-10T22:18:06Z,2024-09-11T05:40:00Z,WB-000008,True,2024-09-10T13:54:00Z,1,2
62dce799-8b00-4bd3-9e9c-3323f971f1fc,SHP-000009,5aa77e2e-39ae-4e5f-b62e-19902b721350,c7d4f9ba-cf77-45c0-940b-86685d7b783f,100000003,100000000,100000002,235.0,234.18,10,2024-09-12T09:22:37Z,2024-09-14T03:28:26Z,2024-09-14T05:23:55Z,2024-09-14T10:44:00Z,WB-000009,True,2024-09-12T09:13:00Z,1,2
dceade62-2c9a-4eab-9892-71ab88008585,SHP-000010,2cf9b230-676f-4928-89aa-286dffd16bb4,17158cbe-342b-4225-9873-7a1d4d6d1f82,100000001,100000000,100000000,125.0,124.59,6,2024-09-19T11:25:31Z,2024-09-26T06:43:09Z,2024-09-26T08:21:00Z,2024-09-26T12:03:00Z,WB-000010,True,2024-09-19T09:14:00Z,1,2
91220764-ec94-4b48-9601-cefef880d484,SHP-000011,7c21feb4-7cd8-4833-b6f3-a9f29d80cd2f,512896b9-d1a8-470a-afba-959b5ff1e393,100000002,100000000,100000000,120.0,119.49,5,2024-10-23T10:41:07Z,2024-10-26T23:33:24Z,2024-10-27T01:20:15Z,2024-10-27T09:09:00Z,WB-000011,True,2024-10-23T11:12:00Z,1,2
