campaignid,name,codename,typecode,ahn_channel,actualstart,actualend,budgetedcost,totalactualcost,ownerid,createdon,statecode,statuscode,transactioncurrencyid
c5144d98-b41c-404f-a346-f415e5267a2b,Steel & Construction Expo 2024,CMP-000001,3,100000000,2024-10-20,2024-10-23,28260000000.0,28059000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-10-06T06:56:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
a38295d3-1e0e-4546-b0b6-dedf4f9c4027,Isfahan Metals Fair 2025,CMP-000002,3,100000000,2025-05-11,2025-05-14,27880000000.0,26462000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-04-27T11:19:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5e175b66-4b87-459f-b0cd-7f05ea87855e,Steel & Construction Expo 2025,CMP-000003,3,100000000,2025-10-19,2025-10-22,23550000000.0,25201000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-10-05T06:42:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f5159494-3818-4fd3-b889-936a9d5817e8,Isfahan Metals Fair 2026,CMP-000004,3,100000000,2026-05-10,2026-05-13,30510000000.0,32364000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2026-04-26T05:10:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
74797b61-2737-4b52-ba6a-210722319050,Referral Program 2024-25,CMP-000005,5,100000007,2024-09-01,2025-06-27,3210000000.0,3292000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-08-18T11:24:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5fa5e0aa-9b11-4530-bd24-7c11bf6b8cdf,Referral Program 2025-26,CMP-000006,5,100000007,2025-08-01,2026-06-26,2930000000.0,2913000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-07-19T08:12:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e9ad0e9b-8c9a-41e9-b3b2-63376a74dbb7,Mill Partner Webinar: Cold-Rolled Specs,CMP-000007,4,100000008,2025-01-15,2025-01-17,2360000000.0,2282000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-01-01T07:23:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
cd4f8b2b-899a-4252-81e1-b94a78883058,Mill Partner Webinar: Galvanized Coatings,CMP-000008,4,100000008,2025-11-12,2025-11-14,2220000000.0,2482000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-10-29T06:17:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c3093b6e-37e9-42e2-935a-c07aaa0217d0,SMS Price Bulletin Q1 2024,CMP-000009,2,100000001,2024-07-06,2024-10-01,1190000000.0,1279000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-06-22T11:13:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
98874bfe-c136-4c65-ae2a-e3413f59e4f2,Weekly Price Newsletter Q1 2024,CMP-000010,2,100000002,2024-07-06,2024-10-01,430000000.0,463000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-06-22T09:12:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
