activityid,regardingobjectid,responsecode,channeltypecode,receivedon,createdon,companyname,ownerid,statecode,statuscode
e00da49d-effa-4002-b040-413c4690fb15,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T13:07:00Z,2024-10-23T13:07:00Z,Taban Housing Development Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
7249f62c-0898-4462-980c-b95c19d45deb,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-22T11:52:00Z,2024-10-22T11:52:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
df495037-b40a-4181-ac09-bdb799086e47,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T11:58:00Z,2024-10-22T11:58:00Z,Alvand Auto Parts Mfg.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
fe54ee4b-80ff-4173-a3df-ecd70e731dd7,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T10:24:00Z,2024-10-23T10:24:00Z,Mehrgan Abadgaran Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
e0527739-4d40-4f1b-bca5-be2952171bf3,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-21T06:54:00Z,2024-10-21T06:54:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
8570b59f-a903-4e67-bc56-8b5324acb722,c5144d98-b41c-404f-a346-f415e5267a2b,4,4,2024-10-21T07:56:00Z,2024-10-21T07:56:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
46707cd6-4ced-4164-a9df-14e9389641dd,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T06:34:00Z,2024-10-22T06:34:00Z,Darya Abadgaran Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
97777f10-f2d2-493f-8e85-140d0f9aeb70,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T07:55:00Z,2024-10-23T07:55:00Z,Rayan Metals Supply Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
2cd58759-e95d-4761-bc36-dc59e134edfc,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T08:38:00Z,2024-10-23T08:38:00Z,Sadaf Dam & Water Works Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
8e4c3ab5-6d5d-4477-adc2-9178a0411612,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T10:20:00Z,2024-10-22T10:20:00Z,Varna Auto Parts Mfg.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
