incidentid,ticketnumber,title,customerid,customeridtype,ahn_salesorderid,ahn_shipmentid,casetypecode,ahn_casecategory,ahn_investigatingteam,prioritycode,caseorigincode,ownerid,createdon,responseby,resolveby,firstresponsesent,ahn_firstresponseon,isescalated,escalatedon,ahn_claimupheld,ahn_compensationamount,customersatisfactioncode,statecode,statuscode,modifiedon
195007fb-1856-4617-bc82-d183788c1235,CAS-00001-1CPVVJ,Late delivery: ORD-000006,d57a1134-c82f-48db-9bc6-9dfca6a148c3,account,4abf432e-5943-4127-b073-01a4ae7d7081,36d689ac-8454-4a6d-b816-5d63f14c32f4,2,100000001,100000002,2,1,7931db9d-7b28-4616-ab82-a35fc263b420,2024-09-17T08:29:59Z,2024-09-17T12:29:59Z,2024-09-22T08:29:59Z,True,2024-09-17T10:44:52Z,False,,True,0.0,4.0,1,5,2024-09-20T11:45:01Z
4a6f7fc6-f26d-4e69-94a1-9ab1ccc3f8d9,CAS-00002-Z1EM06,Mill certificate request: ORD-000007,c0d4173b-aa58-40e6-86ef-a55196d0ae38,account,fe598823-53a4-45b6-b2b3-6c45d525e946,73931d4e-3404-41de-b49b-bbcdc341df8e,3,100000005,100000003,3,3,4b30bd90-ff3f-4312-a47b-630f7d42a132,2024-09-19T18:44:28Z,2024-09-20T02:44:28Z,2024-09-29T18:44:28Z,True,2024-09-19T20:44:53Z,False,,,0.0,5.0,1,1000,2024-09-20T14:03:55Z
08f2bed6-666a-4e2f-8859-7665369ce6f9,CAS-00003-AY7H1A,Late delivery: ORD-000010,17158cbe-342b-4225-9873-7a1d4d6d1f82,account,2cf9b230-676f-4928-89aa-286dffd16bb4,dceade62-2c9a-4eab-9892-71ab88008585,2,100000001,100000002,2,1,4cae8e39-e278-419b-94aa-01f9ef63cd2c,2024-09-24T10:05:14Z,2024-09-24T14:05:14Z,2024-09-29T10:05:14Z,True,2024-09-24T10:55:01Z,False,,False,0.0,,1,5,2024-09-24T21:28:37Z
51bb301f-1d07-41cf-b369-e1f9e3f0b285,CAS-00004-4XE58B,Invoice dispute: ORD-000011,512896b9-d1a8-470a-afba-959b5ff1e393,account,7c21feb4-7cd8-4833-b6f3-a9f29d80cd2f,91220764-ec94-4b48-9601-cefef880d484,2,100000004,100000004,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2024-11-02T12:57:25Z,2024-11-02T16:57:25Z,2024-11-07T12:57:25Z,True,2024-11-02T14:55:16Z,False,,True,650400000.0,,1,5,2024-11-03T20:45:58Z
38081bb8-8f33-4f8e-96c2-226a2df55b06,CAS-00005-9VQ9XK,Damaged or rusted material: ORD-000018,9db51ce2-8797-4353-97d6-7d9288c55582,account,e013f345-7670-45a5-8b9c-988a5bb24e92,99fbe2fd-34fd-45e0-9158-2f10c13625e2,2,100000003,100000003,1,3,4b30bd90-ff3f-4312-a47b-630f7d42a132,2024-10-31T09:02:57Z,2024-10-31T11:02:57Z,2024-11-02T09:02:57Z,True,2024-10-31T12:01:48Z,False,,False,0.0,,1,5,2024-11-01T09:35:03Z
c9060409-d264-41cc-a8c8-576622b0cec8,CAS-00006-JEU8S9,Mill certificate request: ORD-000027,e716eb38-581f-43df-be71-bda810128b96,account,0f7aff6e-54b9-4b3b-8f6c-a162f0773f92,90c1bd0e-5f79-4835-9293-726049f88679,3,100000005,100000003,3,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2024-10-28T13:43:45Z,2024-10-28T21:43:45Z,2024-11-07T13:43:45Z,True,2024-10-28T15:51:10Z,False,,,0.0,4.0,1,1000,2024-10-29T06:36:54Z
046e6978-bb78-4879-ae47-686949e789c8,CAS-00007-Z294U8,Delivery change request: ORD-000030,51f4a724-9950-4858-88ca-c260b3f5a21c,account,83382f03-cd47-48f9-9fb8-f6cf70988dac,bbff6614-a122-4b08-bf42-311491698e82,3,100000006,100000002,2,3,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2024-10-31T19:54:56Z,2024-10-31T23:54:56Z,2024-11-05T19:54:56Z,True,2024-10-31T22:23:43Z,False,,,0.0,,1,1000,2024-11-01T05:53:48Z
0ac001e4-16f3-4ddb-ac2b-f3ee9f33cf69,CAS-00008-RH9A2R,Late delivery: ORD-000040,d5f0fb6a-4596-4a75-b4df-b83ff659f188,account,7818382a-53df-410f-9da7-a4e58b62c2e9,92c88ab2-0e04-40fe-885a-34a36bb012bd,2,100000001,100000002,2,1,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-04-22T07:56:57Z,2025-04-22T11:56:57Z,2025-04-27T07:56:57Z,True,2025-04-22T10:16:27Z,False,,False,0.0,4.0,1,5,2025-04-22T20:26:36Z
a24d1da4-a10c-4b90-a532-2eb5102224da,CAS-00009-STELD7,Weight discrepancy: ORD-000041,d02c75f9-198d-43a4-8cd2-0e4376dae194,account,8da411b6-894c-4c78-ad9e-3fc464114680,181e29e1-387f-4c15-b038-370cbbafd178,2,100000000,100000001,2,1,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2024-11-28T02:12:58Z,2024-11-28T06:12:58Z,2024-12-03T02:12:58Z,True,2024-11-28T06:23:15Z,False,,True,133800000.0,,1,5,2024-11-28T20:53:14Z
48c53464-2ac0-432b-b1fe-75e611ac427b,CAS-00010-20U815,Weight discrepancy: ORD-000051,f3f48d53-1120-41b7-9b23-91f0f620e4c0,account,d16c0a67-a5fd-499b-833b-4d4316b6556f,ad92e256-4c8a-424c-a992-3c034aa16f28,2,100000000,100000001,2,2,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2024-11-04T18:20:02Z,2024-11-04T22:20:02Z,2024-11-09T18:20:02Z,True,2024-11-04T20:31:56Z,False,,True,470600000.0,,1,5,2024-11-06T02:28:25Z
f3531b22-ebae-4bab-b021-2a93cf48bc81,CAS-00011-0JLX2Z,Damaged or rusted material: ORD-000052,8fddbebc-f7ff-48d4-b509-f08a2c988bca,account,675bb586-f70e-4b43-a66e-a696322f04e6,dc6a6656-a615-429a-9659-ad704ae6959b,2,100000003,100000003,1,2,4b30bd90-ff3f-4312-a47b-630f7d42a132,2024-11-20T22:15:20Z,2024-11-21T00:15:20Z,2024-11-22T22:15:20Z,True,2024-11-21T01:10:22Z,True,2024-11-22T10:15:20Z,False,0.0,5.0,1,5,2024-11-22T10:30:06Z
64413db6-436b-436e-a14a-8b9975e175d9,CAS-00012-XNAPDG,Mill certificate request: ORD-000053,af70de70-2b69-495e-8567-1b58926bffa5,account,86c6855b-a041-4f85-966c-c616b14d63b3,c11f453e-a32a-4558-8df3-1ed13b5caf61,3,100000005,100000003,3,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2024-11-25T23:54:14Z,2024-11-26T07:54:14Z,2024-12-05T23:54:14Z,True,2024-11-26T02:28:19Z,False,,,0.0,,1,1000,2024-11-26T04:30:09Z
65a3a35a-984c-4f82-acfa-40b74e497a16,CAS-00013-3EGE3Z,Delivery change request: ORD-000057,453b45fe-636c-4499-9254-aad3809cd839,account,b89cd9fd-ded0-4368-b1f0-ef7f1373ec3a,ee1dd094-4561-4fb5-b851-742596592d04,3,100000006,100000002,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2024-11-18T01:03:58Z,2024-11-18T05:03:58Z,2024-11-23T01:03:58Z,True,2024-11-18T02:42:59Z,False,,,0.0,,1,1000,2024-11-18T05:38:20Z
7661613c-48f4-4dc5-a052-16a0414b685b,CAS-00014-PQG9NC,Invoice dispute: ORD-000063,7ec59e55-1b98-467e-8cc8-8dc68127a367,account,c4b3486f-c68a-4cec-ac52-8ec320aad273,1f56a6a0-4267-43cf-9e0f-9be75be71df0,2,100000004,100000004,2,3,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2024-12-10T06:08:27Z,2024-12-10T10:08:27Z,2024-12-15T06:08:27Z,True,2024-12-10T08:54:35Z,True,2024-12-14T00:08:27Z,True,441700000.0,2.0,1,5,2024-12-16T09:34:43Z
d5ec0ffa-f70e-4b2f-aaf8-680158b32e14,CAS-00015-79RMM9,Invoice dispute: ORD-000071,5a4edcb7-ad37-4eb6-84e0-6472e1c60b7b,account,76af5875-d668-4668-9c72-2c55d80c6d2a,12c49c90-02b5-4033-93c8-67965a760963,2,100000004,100000004,2,3,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-01-05T00:22:47Z,2025-01-05T04:22:47Z,2025-01-10T00:22:47Z,True,2025-01-05T02:40:01Z,False,,True,28500000.0,,1,5,2025-01-06T07:02:35Z
2b2bef35-75e6-47c0-8f1a-bcafb1cbf427,CAS-00016-W6F8SJ,Invoice dispute: ORD-000074,72652f1e-47b0-41ec-8a32-7480ba9583c5,account,603a8090-df89-4abd-8ed3-fa89bdd1018b,cf147254-1b2d-40dc-b97a-30054d9d9592,2,100000004,100000004,2,3,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-01-02T13:12:16Z,2025-01-02T17:12:16Z,2025-01-07T13:12:16Z,True,2025-01-02T15:11:21Z,True,2025-01-06T07:12:16Z,False,0.0,2.0,1,5,2025-01-22T02:24:01Z
a8dc2ef4-11b2-43b7-aa88-84ca6478df56,CAS-00017-WF8WBB,Late delivery: ORD-000077,e6e987ca-b87b-4384-9fdd-de2ea8a2b7ad,account,ca0b6af7-572d-4d61-aaa1-5b6a0216cd40,e5cd1097-7db8-427c-84c2-5f40affd776e,2,100000001,100000002,2,2,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-01-13T15:34:04Z,2025-01-13T19:34:04Z,2025-01-18T15:34:04Z,True,2025-01-13T17:55:28Z,False,,False,0.0,,1,5,2025-01-15T20:02:23Z
a60802aa-571c-4f19-bf84-7644df57acdd,CAS-00018-ZECE8Y,Damaged or rusted material: ORD-000078,ef95d35a-d7e3-4b19-ad02-af6c55cc57fe,account,d169dc5f-3ae4-42a4-8f4c-86882d59cdbe,fd9e9ead-d0ae-4da5-a8a0-806330dd1fe1,2,100000003,100000003,1,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-02-10T10:29:46Z,2025-02-10T12:29:46Z,2025-02-12T10:29:46Z,True,2025-02-10T11:06:03Z,False,,True,4079000000.0,5.0,1,5,2025-02-10T22:01:40Z
98658c31-6df9-47a5-abcc-536a4ecf4d69,CAS-00019-D19W7D,Invoice dispute: ORD-000078,ef95d35a-d7e3-4b19-ad02-af6c55cc57fe,account,d169dc5f-3ae4-42a4-8f4c-86882d59cdbe,fd9e9ead-d0ae-4da5-a8a0-806330dd1fe1,2,100000004,100000004,2,1,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-03-03T11:16:59Z,2025-03-03T15:16:59Z,2025-03-08T11:16:59Z,True,2025-03-03T12:34:19Z,False,,True,1327000000.0,3.0,1,5,2025-03-06T13:51:18Z
