invoiceid,invoicenumber,salesorderid,opportunityid,customerid,customeridtype,ownerid,createdon,duedate,totalamount,paymenttermscode,ahn_paidon,statecode,statuscode,transactioncurrencyid
b94cfcf4-8fb1-43a5-88c5-402b998c6b88,INV-000001,cca743fd-96eb-4756-8684-3d56804d5d33,203f074e-e041-4805-bdce-29756aa57f33,4d4f6a43-edf4-41b5-80a3-d4f68811fcc6,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-21T04:47:00Z,2024-07-21,40075230000,100000000,2024-07-20T04:47:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
dc411edf-5d6d-41f4-ad2a-42ff5461bb1c,INV-000002,16572edb-b5b6-4d38-953c-47021e61d2ba,4e09110d-be6e-4244-a526-4d3b67f6730a,1d96dc53-2344-4c54-8cae-f9ec6d44f723,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-03T05:45:00Z,2024-10-02,11078781000,4,2024-10-06T06:16:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
ef9e096c-b084-463c-be4e-b66d5042f46c,INV-000003,8d4cdaa5-719c-4657-a38c-ebb36084004a,001ac906-db34-49a9-8d75-b0ee9845a796,144be8bc-e207-4595-be20-9925a72427a6,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-18T10:23:00Z,2024-09-17,8510072000,1,2024-09-15T05:07:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e9914227-4c98-4134-9dc2-4142c4cb8f3d,INV-000004,7259397c-1f14-413c-86d6-c31ba0bc3c69,c674ef70-e1cd-4046-b697-02719b41d9ff,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-10-03T12:00:00Z,2024-12-02,11472335000,4,2025-04-17T10:35:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
9668c3bb-0d7a-42cf-a39f-e00426cbab65,INV-000005,5cd0359f-1a40-4446-a87b-cdebce03d4c0,e5a80de2-4fee-4c78-95cc-6bec3826995f,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-02T11:18:00Z,2024-10-02,14383271000,100000000,2024-10-02T11:18:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3fbf5784-6404-4619-85fb-99dd2f502567,INV-000006,4abf432e-5943-4127-b073-01a4ae7d7081,a9529fa4-15bf-4efd-acd7-61701d0dc3cd,d57a1134-c82f-48db-9bc6-9dfca6a148c3,account,5304317f-af42-412f-b838-b3268e944239,2024-09-18T06:36:00Z,2024-10-18,2519256000,1,2024-10-23T06:56:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7e6e4c2d-0e47-45f8-a4c2-89280e4b738e,INV-000007,fe598823-53a4-45b6-b2b3-6c45d525e946,f877fbc4-db00-4586-8ca3-5612b0fd219e,c0d4173b-aa58-40e6-86ef-a55196d0ae38,account,5304317f-af42-412f-b838-b3268e944239,2024-09-19T12:28:00Z,2024-12-18,4521030000,100000001,2024-12-21T08:09:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b4c2713c-08ea-42dc-9436-120a530df200,INV-000008,d549eee9-0939-412a-91fd-788a457ca8bc,ac21a335-e93c-4172-8300-6a4d353b597d,83aabf08-2024-45b5-98d0-5a5948724928,account,5304317f-af42-412f-b838-b3268e944239,2024-09-11T05:40:00Z,2024-10-11,3014464000,1,2024-10-12T05:37:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c347069c-9fb8-427b-ac42-cbcc06f1af34,INV-000009,5aa77e2e-39ae-4e5f-b62e-19902b721350,f82aad36-89c0-4ff0-9d4f-4215d46be0f2,c7d4f9ba-cf77-45c0-940b-86685d7b783f,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-09-14T10:44:00Z,2024-09-14,79432582000,100000000,2024-09-13T10:44:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0db4f7a0-a245-41e7-8239-9c4373a1872e,INV-000010,2cf9b230-676f-4928-89aa-286dffd16bb4,57658e13-d6f1-4320-8f2c-e5b9e850ad62,17158cbe-342b-4225-9873-7a1d4d6d1f82,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-26T12:03:00Z,2024-11-25,41699166000,4,2024-12-21T08:01:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5caf4366-ffa6-4ce6-9f3a-34cebce148df,INV-000011,7c21feb4-7cd8-4833-b6f3-a9f29d80cd2f,21f110f3-9703-4a74-86ed-4e3453836097,512896b9-d1a8-470a-afba-959b5ff1e393,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-27T09:09:00Z,2024-10-27,37659460000,100000000,2024-10-27T09:09:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3731ff7d-04f3-4ca5-889b-fbfffba05810,INV-000012,18e8edff-38e6-4127-a05f-6b13dd83fc2a,d607bb17-80cc-499e-bd40-466c91a38a10,8b17251e-7f11-4d61-b24c-7474030aaf26,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-14T11:34:00Z,2024-10-14,107176379000,100000000,2024-10-14T11:34:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5ce8e692-064e-4e70-b0cf-2d863b837d0d,INV-000013,16206c96-b857-45b4-812e-796cf47cde0f,c01a48b1-6937-4c46-9c3a-bd2a62ccac09,44bb84b2-4a1e-4e91-933e-db88f9c2f1f5,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-28T10:24:00Z,2024-12-27,24231549000,4,2025-01-04T08:02:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5f80a94e-72c5-4547-8fd4-803fa236bd80,INV-000014,3972955f-f318-48ac-b287-62cda517adae,c9f8892c-f9c9-48ff-9c6e-cbd2771e996c,380c10f6-39b8-4c77-aa25-15bbfe1da55b,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-02T05:08:00Z,2024-11-01,13681847000,1,2024-10-30T07:23:00Z,2,100001,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
