leadid,subject,companyname,jobtitle,industrycode,address1_stateorprovince,leadsourcecode,campaignid,relatedobjectid,ahn_productgroup,ahn_estimatedtonnage,parentaccountid,ownerid,createdon,modifiedon,statecode,statuscode,qualifyingopportunityid
083f64c3-1ce3-42f8-83f7-25feb99b2b5a,"Pipes & Profiles, 210 t - Taban Housing Development Group",Taban Housing Development Group,Site Engineer,100000005,Fars,7,c5144d98-b41c-404f-a346-f415e5267a2b,e00da49d-effa-4002-b040-413c4690fb15,100000005,255.0,1139fa12-34c1-43ea-bd9c-4e6404015ced,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-10-24T09:13:00Z,2024-10-27T04:36:00Z,1,3,1a947da4-bec2-4e55-8d4e-c960f6cd67d0
0b531932-bd94-49aa-bea6-e5b20c760d28,"Galvanized Sheet, 45 t - Alvand Auto Parts Mfg.",Alvand Auto Parts Mfg.,Supply Chain Manager,100000003,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,df495037-b40a-4181-ac09-bdb799086e47,100000004,35.0,,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-10-23T05:02:00Z,2024-10-27T09:59:00Z,2,4,
ea98fef8-d0d7-4e37-bbf2-025f4a0d2b73,"Beams & Sections, 105 t - Mehrgan Abadgaran Industries",Mehrgan Abadgaran Industries,Procurement Lead,100000000,East Azerbaijan,7,c5144d98-b41c-404f-a346-f415e5267a2b,fe54ee4b-80ff-4173-a3df-ecd70e731dd7,100000001,95.0,,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-10-23T12:30:00Z,2024-10-26T08:25:00Z,2,6,
582b91ee-f8e8-435b-8c00-988a7ee1011a,"Cold-Rolled Sheet, 65 t - Varna Auto Parts Mfg.",Varna Auto Parts Mfg.,Supply Chain Manager,100000003,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,8e4c3ab5-6d5d-4477-adc2-9178a0411612,100000003,80.0,,5304317f-af42-412f-b838-b3268e944239,2024-10-22T06:34:00Z,2024-10-26T05:47:00Z,2,6,
0ec0713d-ea2c-4a51-b688-d11fce4758be,"Hot-Rolled Sheet, 70 t - Farazan Steel Structures Industries",Farazan Steel Structures Industries,Site Engineer,100000001,Hormozgan,7,c5144d98-b41c-404f-a346-f415e5267a2b,24f43c62-b523-40de-9b87-d29c4cfd0fc1,100000002,70.0,73253aa3-ec17-4298-943d-f5b3a58e83dd,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-10-23T13:04:00Z,2024-10-27T04:42:00Z,1,3,c3745229-71ee-492e-8588-14eb6a6c3676
e8b3d763-f4ff-4f3a-8d9d-baeb553d2625,"Hot-Rolled Sheet, 55 t - Ava Sakhteman Co.",Ava Sakhteman Co.,Purchasing Manager,100000000,Alborz,7,c5144d98-b41c-404f-a346-f415e5267a2b,e8334da5-de95-4695-b579-c1437ab99428,100000002,75.0,,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-10-24T05:36:00Z,2024-10-28T05:07:00Z,2,6,
51facefa-d6f8-4f7a-82fa-1da878308631,"Rebar, 110 t - Alvand Sakhteman Ltd.",Alvand Sakhteman Ltd.,Purchasing Manager,100000000,East Azerbaijan,7,c5144d98-b41c-404f-a346-f415e5267a2b,b8f0188e-fb37-4fae-8d85-63ca193e638d,100000000,115.0,,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-10-24T05:21:00Z,2024-10-27T09:59:00Z,2,6,
95831d58-ef4c-4119-8da5-d39b42c21797,"Pipes & Profiles, 40 t - Sahand Fabrication Works Ltd.",Sahand Fabrication Works Ltd.,Site Engineer,100000001,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,0426fcc9-255b-40e2-bdc2-b74b38a56b49,100000005,50.0,3ee82983-d557-4241-91dd-b9bf613d2de9,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-10-22T05:41:00Z,2024-10-26T07:41:00Z,1,3,a89966aa-ad52-4e85-b1da-666c18b77c57
5a2837b2-cb83-43f2-bb96-f6022b115c36,"Hot-Rolled Sheet, 305 t - Saba Pipe & Profile Industries",Saba Pipe & Profile Industries,Purchasing Manager,100000002,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,75f8e3a8-7d97-4c0f-bd56-09c4a4461663,100000002,345.0,30307633-a6de-41d8-9258-17b7cf501889,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-23T10:28:00Z,2024-10-27T06:58:00Z,2,5,
a3422e50-9e2a-4324-8f79-a8a75f8a14bd,"Rebar, 945 t - Mahtab Housing Development Co.",Mahtab Housing Development Co.,Supply Chain Manager,100000005,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,74bd0c93-8177-4661-b7fe-032c02571851,100000000,1045.0,,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-22T12:59:00Z,2024-10-27T11:10:00Z,2,5,
