opportunityid,name,customerid,customeridtype,originatingleadid,campaignid,ownerid,createdon,estimatedclosedate,estimatedvalue,ahn_productgroup,ahn_tonnage,ahn_isrepeatbusiness,transactioncurrencyid,actualclosedate,actualvalue,ahn_lossreason,statecode,statuscode,closeprobability,salesstage,stepname,msdyn_forecastcategory,modifiedon
ff40abae-3c22-45fb-b75e-aba38f43a702,230 t Wire Rod - Ilia Steel Trading Co.,522cd6d7-92be-4a6a-ac67-d107711b72df,account,5e0acbb3-9f05-449b-9604-cb1eed2b002b,,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-09T06:47:00Z,2024-07-25,54296100000.0,100000006,230.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-24,,100000003.0,2,4,0,3,4-Close,100000006,2024-08-24T04:45:00Z
203f074e-e041-4805-bdce-29756aa57f33,120 t Pipes & Profiles - Sepehr Ahan Bazar Group,4d4f6a43-edf4-41b5-80a3-d4f68811fcc6,account,23d33786-0fe6-4284-8c97-d4f57d76ace1,,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-11T11:08:00Z,2024-07-27,40159600000.0,100000005,120.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-07-20,40075230000.0,,1,3,100,3,4-Close,100000005,2024-07-20T07:18:00Z
9ffe17f6-04f8-4fca-8345-1edb0ff95a14,90 t Rebar - Zagros Ahan Forooshi Co.,1aa3c18e-0aaf-4962-b92c-23e3454009f2,account,bd4211d1-9920-43eb-aa8e-b758f32d2812,c3093b6e-37e9-42e2-935a-c07aaa0217d0,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-07-13T09:16:00Z,2024-07-29,22740900000.0,100000000,90.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-07-30,,100000000.0,2,5,0,3,4-Close,100000006,2024-07-30T12:19:00Z
18baf38f-5c8a-45a0-80ec-1632714d901d,715 t Hot-Rolled Sheet - Zagros Profile Works Industries,b522f610-ef26-4a84-b2bd-509b564d36b6,account,decceaea-622b-4588-8275-da34881e40c6,98874bfe-c136-4c65-ae2a-e3413f59e4f2,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-07-13T13:08:00Z,2024-07-29,235558500000.0,100000002,715.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-03,,100000002.0,2,5,0,3,4-Close,100000006,2024-08-03T08:36:00Z
4e09110d-be6e-4244-a526-4d3b67f6730a,35 t Beams & Sections - Golestan Eskelet Felezi Group,1d96dc53-2344-4c54-8cae-f9ec6d44f723,account,7b6fb65b-8d70-400f-84a1-dd66bce88f22,c3093b6e-37e9-42e2-935a-c07aaa0217d0,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-07-20T11:43:00Z,2024-08-05,11102000000.0,100000001,35.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-07-29,11078781000.0,,1,3,100,3,4-Close,100000005,2024-07-29T11:02:00Z
eff06023-6929-4548-8678-ba620de14b43,20 t Rebar - Atlas-Ilia Omran,58f7a675-49fa-4689-ae5e-30a9bfc7e9e1,account,2c243e06-b780-43e1-953f-8e3f53e988c3,,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-07-27T09:48:00Z,2024-08-12,5090300000.0,100000000,20.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-06,,100000000.0,2,5,0,1,2-Develop,100000006,2024-08-06T11:03:00Z
1037c4cc-c9ab-4d20-a7dd-0b0aff3490a4,60 t Rebar - Varna-Negin Omran,3065b3a2-4afc-4fef-8a27-9be10e4683dd,account,f7b36bc2-4e9f-4a5c-a212-cc0b759ba210,,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-30T07:16:00Z,2024-08-15,14728300000.0,100000000,60.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-10,,100000004.0,2,4,0,3,4-Close,100000006,2024-08-10T08:28:00Z
44d848a8-bcea-41e5-8128-e7a4aaa835c1,820 t Beams & Sections - Tous Foolad Trading Co.,b197603c-a45c-4178-947c-903018dd3aea,account,a812cf1b-69b3-4bf2-9dd0-9e342b4088da,98874bfe-c136-4c65-ae2a-e3413f59e4f2,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-08-03T09:31:00Z,2024-08-19,252712100000.0,100000001,820.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-11-23,,100000007.0,2,5,0,3,4-Close,100000006,2024-11-23T09:52:00Z
001ac906-db34-49a9-8d75-b0ee9845a796,35 t Rebar - Tarava Abadgaran Co.,144be8bc-e207-4595-be20-9925a72427a6,account,2f160f3d-05ba-4c78-a696-dea06c2aeb89,98874bfe-c136-4c65-ae2a-e3413f59e4f2,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-03T11:01:00Z,2024-08-19,8527900000.0,100000000,35.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-15,8510072000.0,,1,3,100,3,4-Close,100000005,2024-08-15T04:39:00Z
42023f7d-b0b4-48b0-a297-aa1c8ee62d71,100 t Rebar - Golestan-Farnam Sazeh,e2f6896c-f768-42a4-bff0-5450a64915e6,account,4bf7dc4a-d496-4a22-bb7f-9f07634b7541,,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-06T05:47:00Z,2024-08-22,24314900000.0,100000000,100.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-25,,100000001.0,2,5,0,3,4-Close,100000006,2024-08-25T11:21:00Z
