opportunitycompetitorid,opportunityid,competitorid
d2bf0099-7fad-40bc-a865-c56542914a52,ff40abae-3c22-45fb-b75e-aba38f43a702,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
aa2fe74b-1347-4e04-ab90-287e6a9c5812,203f074e-e041-4805-bdce-29756aa57f33,70944bdb-26a5-44e3-90ee-7a92a09151e0
e85876ff-eeae-4467-9113-22f92f977d0e,9ffe17f6-04f8-4fca-8345-1edb0ff95a14,70944bdb-26a5-44e3-90ee-7a92a09151e0
c4117517-d0b7-4f3f-8755-792bca1867a6,44d848a8-bcea-41e5-8128-e7a4aaa835c1,12fe28bf-81e0-4489-9a18-e2a30e614bcd
0eb2d593-a1db-4192-96c5-d1e1d18ad2a7,42023f7d-b0b4-48b0-a297-aa1c8ee62d71,a1a27485-7134-4c2a-b80b-3657117b355b
df175ab2-1baa-4f47-9436-07e69e1a8a80,420c3377-16c9-45c3-8b55-730b94f58e2e,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
f35b4330-47ce-44a3-ba7c-a8aef75e0d0d,e5a80de2-4fee-4c78-95cc-6bec3826995f,a1a27485-7134-4c2a-b80b-3657117b355b
921b7da2-10f3-437c-97b7-e3816a14ad87,4896ee54-487f-4094-8b4f-c0e9eda2ad63,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
376600ef-d1ed-4e4c-91e8-f02afc8372b2,b38f6de4-90c8-400b-bad0-8f4597826620,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
d2d95a70-ba52-415c-8c6c-fce71ad753d0,8a4d341e-4ba5-4f41-82d2-0aa3f2b27c96,70944bdb-26a5-44e3-90ee-7a92a09151e0
9dc23b33-5021-457d-8157-c575a4233a70,c526e125-6d25-4689-9b74-b16bc33be859,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
2efc7c5a-d426-47aa-91a3-af66c83ec176,d7e2786d-ff6b-4153-9f9e-156023294408,70944bdb-26a5-44e3-90ee-7a92a09151e0
334fe9c9-6c51-4015-a913-060ca28042ba,fe212f5b-5d8d-4406-8242-3206de34c4d3,70944bdb-26a5-44e3-90ee-7a92a09151e0
82882fc2-bee4-45a0-bee5-3bfc3d6ff039,912cb8b4-5bc8-48a5-ba06-1bad345b428c,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
c3ce0fcb-4665-4861-a213-92d92a00003e,9dc4ce08-d020-4059-826c-24327c3d7b49,70944bdb-26a5-44e3-90ee-7a92a09151e0
e3c43ca8-fca9-4c13-b962-e1e808f042ed,b4dd5307-0b30-4c62-bfa1-d66b18f59446,97674900-4651-4367-8bdc-43184d85a3d2
5e3663c2-8d93-4ca5-ab1f-ef8e9dc3d2a3,57658e13-d6f1-4320-8f2c-e5b9e850ad62,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
9478ba0b-d20a-4a33-a1c4-c708fbe5fc2b,839fc54a-0b26-4728-aa04-56776ac494c2,70944bdb-26a5-44e3-90ee-7a92a09151e0
38028ccf-86e5-4896-82b8-d038571980f1,21f110f3-9703-4a74-86ed-4e3453836097,12fe28bf-81e0-4489-9a18-e2a30e614bcd
