productid,productnumber,name,ahn_productgroup,ahn_grade,defaultuomid,quantitydecimal,statecode,statuscode,transactioncurrencyid,createdon
bdd640fb-0667-4ad1-9c80-317fa3b1799d,RB-A3-10,Rebar A3 Ø10,100000000,A3,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
23b8c1e9-3924-46de-beb1-3b9046685257,RB-A3-12,Rebar A3 Ø12,100000000,A3,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,RB-A3-16,Rebar A3 Ø14-16,100000000,A3,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
972a8469-1641-4f82-8b9d-2434e465e150,RB-A3-22,Rebar A3 Ø18-22,100000000,A3,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
17fc695a-07a0-4a6e-8822-e8f36c031199,RB-A3-32,Rebar A3 Ø25-32,100000000,A3,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
9a1de644-815e-46d1-bb8f-aa1837f8a88b,RB-A2-12,Rebar A2 Ø12,100000000,A2,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,BM-IPE14,Beam IPE 140,100000001,ST37,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
6b65a6a4-8b81-48f6-b38a-088ca65ed389,BM-IPE18,Beam IPE 180,100000001,ST37,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
47378190-96da-4dac-b2ff-5d2a386ecbe0,BM-IPE22,Beam IPE 220,100000001,ST37,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
c241330b-01a9-471f-9e8a-774bcf36d58b,BM-HEA20,Beam HEA 200,100000001,ST37,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,SC-ANG50,Angle 50x5,100000001,ST37,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
371ecd7b-27cd-4130-8722-9389571aa876,SC-UNP10,Channel UNP 100,100000001,ST37,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
1a2a73ed-562b-4f79-8374-59eef50bea63,HR-2,Hot-rolled sheet 2 mm,100000002,ST37,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
5be6128e-18c2-4797-a142-ea7d17be3111,HR-3,Hot-rolled sheet 3 mm,100000002,ST37,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,2,0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2019-03-02T05:30:00Z
