productpricelevelid,pricelevelid,productid,uomid,amount,transactioncurrencyid
956269f0-e5d7-4875-adad-d6c795a76d79,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,267100000.00000003,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
ff50bde4-3825-47b8-9cab-cc97663f1c97,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,23b8c1e9-3924-46de-beb1-3b9046685257,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,262100000.00000003,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7e570ddf-8270-40a8-a369-b584ff5e9ff0,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,258300000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
dc713d96-0c0f-4195-817a-f08a1745d6d8,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,972a8469-1641-4f82-8b9d-2434e465e150,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,253200000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
28f49481-a0a0-4dc4-a720-9bdf1c11f735,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,17fc695a-07a0-4a6e-8822-e8f36c031199,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,257700000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
98ae4334-6c12-4ce8-ae34-0454cac5b68c,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,9a1de644-815e-46d1-bb8f-aa1837f8a88b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,250300000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
988c24c9-61b1-4d22-a280-1c4510435a10,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,314700000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
405cacec-8774-49a9-b7d2-1e02ff01cf99,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,6b65a6a4-8b81-48f6-b38a-088ca65ed389,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,311600000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f143262f-dc5c-4eed-8da0-365bf89897b9,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,47378190-96da-4dac-b2ff-5d2a386ecbe0,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,315200000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1d53434b-b881-49b9-ae27-0da702f06b90,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,c241330b-01a9-471f-9e8a-774bcf36d58b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,331900000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c0398710-8976-4334-a281-7efdae849217,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,308800000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5715bd6f-a416-4293-84c2-e2e3444ea7c8,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,371ecd7b-27cd-4130-8722-9389571aa876,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,309800000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
287d06ca-6f4c-469a-8b22-d3081c8eaee9,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,1a2a73ed-562b-4f79-8374-59eef50bea63,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,336800000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b8db0672-f42d-47cc-80d4-af5974273ca3,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,5be6128e-18c2-4797-a142-ea7d17be3111,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,329800000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f8cda88b-436d-46e2-b83c-fe0be037e5ed,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,341500000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
81f76d1c-2dbc-4134-830f-f46e8026695f,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,759cde66-bacf-43d0-8b1f-9163ce9ff57f,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,389800000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,382300000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
81f631d4-a392-41a7-9777-a4774c66e0a8,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,4b0dbb41-8d52-48f1-942c-3fe860e7a113,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,456400000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5fb8d16c-2720-497d-b2eb-d6899be578c7,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,448200000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f4188f3f-8a14-4e62-a95b-4715c333e861,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,351700000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
eb2263dd-87c5-421e-ac24-a3c5c754108f,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,356000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7d154385-52fb-443b-9954-6eb400257ad1,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,365900000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,248400000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,273000000.0,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
