quoteid,quotenumber,revisionnumber,opportunityid,customerid,customeridtype,ownerid,createdon,effectivefrom,effectiveto,discountpercentage,totalamount,statecode,statuscode,transactioncurrencyid
8386d737-0c32-4c94-885a-b508a9b352ce,QUO-000001,0,ff40abae-3c22-45fb-b75e-aba38f43a702,522cd6d7-92be-4a6a-ac67-d107711b72df,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-10T10:05:30Z,2024-07-10,2024-07-13,4.96,54296100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
cd79fe0e-d04a-457b-bbab-11d5337636ff,QUO-000002,1,ff40abae-3c22-45fb-b75e-aba38f43a702,522cd6d7-92be-4a6a-ac67-d107711b72df,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-14T19:58:44Z,2024-07-14,2024-07-17,5.16,54181800000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
37d817e1-82e0-4df6-b8ce-b8cd31cb3704,QUO-000003,2,ff40abae-3c22-45fb-b75e-aba38f43a702,522cd6d7-92be-4a6a-ac67-d107711b72df,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-20T03:59:25Z,2024-07-20,2024-07-23,5.36,54067500000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1cc546c8-a2b0-42d2-99ac-118064720dcc,QUO-000004,3,ff40abae-3c22-45fb-b75e-aba38f43a702,522cd6d7-92be-4a6a-ac67-d107711b72df,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-27T15:08:01Z,2024-07-27,2024-07-30,5.56,53953300000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
9388984a-a26f-4c48-954c-d6535a07e176,QUO-000005,4,ff40abae-3c22-45fb-b75e-aba38f43a702,522cd6d7-92be-4a6a-ac67-d107711b72df,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-03T10:03:40Z,2024-08-03,2024-08-06,5.76,54272500000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
6a265f8d-6399-46c3-9a16-15fa2eb8cad9,QUO-000006,5,ff40abae-3c22-45fb-b75e-aba38f43a702,522cd6d7-92be-4a6a-ac67-d107711b72df,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-10T02:07:15Z,2024-08-10,2024-08-13,5.96,54157300000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
a4faa3d6-61ee-4c12-a7e3-527385bf2d22,QUO-000007,6,ff40abae-3c22-45fb-b75e-aba38f43a702,522cd6d7-92be-4a6a-ac67-d107711b72df,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-17T20:01:57Z,2024-08-17,2024-08-20,6.16,54042100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f1ceb382-8ac6-41b2-860a-5ec38485c7a3,QUO-000008,7,ff40abae-3c22-45fb-b75e-aba38f43a702,522cd6d7-92be-4a6a-ac67-d107711b72df,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-24T18:54:56Z,2024-08-24,2024-08-27,6.36,53926900000.0,3,5,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
ba997a53-ba9b-4322-bf12-9d609c59b7f6,QUO-000009,0,203f074e-e041-4805-bdce-29756aa57f33,4d4f6a43-edf4-41b5-80a3-d4f68811fcc6,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-13T00:51:35Z,2024-07-13,2024-07-16,4.84,40159600000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
652d2813-f09c-4858-bf1d-be2ac2c742ee,QUO-000010,1,203f074e-e041-4805-bdce-29756aa57f33,4d4f6a43-edf4-41b5-80a3-d4f68811fcc6,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-20T16:10:21Z,2024-07-20,2024-07-23,5.04,40075200000.0,2,4,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b922183f-64df-435c-bb2a-faf635360a95,QUO-000011,0,9ffe17f6-04f8-4fca-8345-1edb0ff95a14,1aa3c18e-0aaf-4962-b92c-23e3454009f2,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-07-13T19:22:55Z,2024-07-13,2024-07-16,1.95,22740900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
feca7fdb-2587-4e9f-b005-fe0c2d4f8c5d,QUO-000012,1,9ffe17f6-04f8-4fca-8345-1edb0ff95a14,1aa3c18e-0aaf-4962-b92c-23e3454009f2,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-07-18T14:02:25Z,2024-07-18,2024-07-21,2.15,22694500000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
544da316-4d58-41c8-8717-fa7d44c8bfb4,QUO-000013,2,9ffe17f6-04f8-4fca-8345-1edb0ff95a14,1aa3c18e-0aaf-4962-b92c-23e3454009f2,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-07-23T00:56:26Z,2024-07-23,2024-07-26,2.35,22648100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7be121bb-2f88-4ec3-a084-a7a3d43d753e,QUO-000014,3,9ffe17f6-04f8-4fca-8345-1edb0ff95a14,1aa3c18e-0aaf-4962-b92c-23e3454009f2,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-07-27T21:21:40Z,2024-07-28,2024-07-31,2.55,22601800000.0,3,5,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
6506986f-aa44-4b64-b462-138315d92262,QUO-000015,0,18baf38f-5c8a-45a0-80ec-1632714d901d,b522f610-ef26-4a84-b2bd-509b564d36b6,account,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-07-14T17:48:16Z,2024-07-14,2024-07-17,3.53,235558500000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
fd1ab6b5-b3ca-4376-9097-95e35697a811,QUO-000016,1,18baf38f-5c8a-45a0-80ec-1632714d901d,b522f610-ef26-4a84-b2bd-509b564d36b6,account,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-07-21T09:54:55Z,2024-07-21,2024-07-24,3.73,235070200000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
6c0da10f-1188-4833-8807-607dc7dba592,QUO-000017,2,18baf38f-5c8a-45a0-80ec-1632714d901d,b522f610-ef26-4a84-b2bd-509b564d36b6,account,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-07-28T00:41:29Z,2024-07-28,2024-07-31,3.93,234581800000.0,3,5,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
10d1884d-7a99-4b1a-b5a8-a999e8217381,QUO-000018,0,4e09110d-be6e-4244-a526-4d3b67f6730a,1d96dc53-2344-4c54-8cae-f9ec6d44f723,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-07-21T12:18:27Z,2024-07-21,2024-07-24,4.43,11102000000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8314cf71-17ef-4c92-ae21-6ba1f9e6142a,QUO-000019,1,4e09110d-be6e-4244-a526-4d3b67f6730a,1d96dc53-2344-4c54-8cae-f9ec6d44f723,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-07-28T16:50:28Z,2024-07-28,2024-07-31,4.63,11078800000.0,2,4,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e1daa14e-7547-487b-a0d2-dfb7f84dfbca,QUO-000020,0,1037c4cc-c9ab-4d20-a7dd-0b0aff3490a4,3065b3a2-4afc-4fef-8a27-9be10e4683dd,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-31T03:02:40Z,2024-07-31,2024-08-03,3.05,14728300000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
a618130e-6ba7-4190-9ebf-d7b5bcc7303f,QUO-000021,1,1037c4cc-c9ab-4d20-a7dd-0b0aff3490a4,3065b3a2-4afc-4fef-8a27-9be10e4683dd,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-04T13:25:28Z,2024-08-04,2024-08-07,3.25,15075200000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
