salesorderid,ordernumber,opportunityid,quoteid,customerid,customeridtype,ownerid,submitdate,requestdeliveryby,datefulfilled,totalamount,paymenttermscode,statecode,statuscode,createdon,transactioncurrencyid
cca743fd-96eb-4756-8684-3d56804d5d33,ORD-000001,203f074e-e041-4805-bdce-29756aa57f33,652d2813-f09c-4858-bf1d-be2ac2c742ee,4d4f6a43-edf4-41b5-80a3-d4f68811fcc6,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-07-20T07:18:00Z,2024-07-25,2024-07-21T04:47:00Z,40075230000,100000000,4,100003,2024-07-20T07:18:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
16572edb-b5b6-4d38-953c-47021e61d2ba,ORD-000002,4e09110d-be6e-4244-a526-4d3b67f6730a,8314cf71-17ef-4c92-ae21-6ba1f9e6142a,1d96dc53-2344-4c54-8cae-f9ec6d44f723,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-07-29T11:02:00Z,2024-08-03,2024-08-03T05:45:00Z,11078781000,4,4,100003,2024-07-29T11:02:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8d4cdaa5-719c-4657-a38c-ebb36084004a,ORD-000003,001ac906-db34-49a9-8d75-b0ee9845a796,fcbe2289-23f3-4208-b378-18e5c5056122,144be8bc-e207-4595-be20-9925a72427a6,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-15T04:39:00Z,2024-08-20,2024-08-18T10:23:00Z,8510072000,1,4,100003,2024-08-15T04:39:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7259397c-1f14-413c-86d6-c31ba0bc3c69,ORD-000004,c674ef70-e1cd-4046-b697-02719b41d9ff,2d37f9ba-67be-44ab-abc2-4e093236c39b,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-26T06:08:00Z,2024-10-02,2024-10-03T12:00:00Z,11472335000,4,4,100003,2024-09-26T06:08:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5cd0359f-1a40-4446-a87b-cdebce03d4c0,ORD-000005,e5a80de2-4fee-4c78-95cc-6bec3826995f,2481c95b-e8e7-46df-8fb0-297b25a3e6bb,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-09-26T06:45:00Z,2024-10-01,2024-10-02T11:18:00Z,14383271000,100000000,4,100003,2024-09-26T06:45:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
4abf432e-5943-4127-b073-01a4ae7d7081,ORD-000006,a9529fa4-15bf-4efd-acd7-61701d0dc3cd,3c4c32ce-debf-4c16-ace9-bb6f277d05d7,d57a1134-c82f-48db-9bc6-9dfca6a148c3,account,5304317f-af42-412f-b838-b3268e944239,2024-09-11T10:17:00Z,2024-09-17,2024-09-18T06:36:00Z,2519256000,1,4,100003,2024-09-11T10:17:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
fe598823-53a4-45b6-b2b3-6c45d525e946,ORD-000007,f877fbc4-db00-4586-8ca3-5612b0fd219e,0dfda103-9cbf-477c-9d87-1f74540541d0,c0d4173b-aa58-40e6-86ef-a55196d0ae38,account,5304317f-af42-412f-b838-b3268e944239,2024-09-12T10:57:00Z,2024-09-19,2024-09-19T12:28:00Z,4521030000,100000001,4,100003,2024-09-12T10:57:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
d549eee9-0939-412a-91fd-788a457ca8bc,ORD-000008,ac21a335-e93c-4172-8300-6a4d353b597d,16c97de7-2b04-407a-85c5-f6fbbc43377b,83aabf08-2024-45b5-98d0-5a5948724928,account,5304317f-af42-412f-b838-b3268e944239,2024-09-10T13:18:00Z,2024-09-16,2024-09-11T05:40:00Z,3014464000,1,4,100003,2024-09-10T13:18:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5aa77e2e-39ae-4e5f-b62e-19902b721350,ORD-000009,f82aad36-89c0-4ff0-9d4f-4215d46be0f2,954134c7-68c3-4600-b173-e3150fc44567,c7d4f9ba-cf77-45c0-940b-86685d7b783f,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-09-12T08:47:00Z,2024-09-17,2024-09-14T10:44:00Z,79432582000,100000000,4,100003,2024-09-12T08:47:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
2cf9b230-676f-4928-89aa-286dffd16bb4,ORD-000010,57658e13-d6f1-4320-8f2c-e5b9e850ad62,3925ac0a-7f7d-4c7c-9743-faf6a39d41fc,17158cbe-342b-4225-9873-7a1d4d6d1f82,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-19T09:09:00Z,2024-09-24,2024-09-26T12:03:00Z,41699166000,4,4,100003,2024-09-19T09:09:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
