salesorderdetailid,salesorderid,productid,uomid,quantity,priceperunit,baseamount,manualdiscountamount,extendedamount,ahn_costperton,sequencenumber,transactioncurrencyid
07e34c0d-c04c-4016-91a0-c29d81942d55,cca743fd-96eb-4756-8684-3d56804d5d33,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,120.0,351700000.0,42204000000.0,2128770000.0,40075230000.0,314772000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
664d2b78-f92f-44b4-8359-ce40898ef9c3,16572edb-b5b6-4d38-953c-47021e61d2ba,c241330b-01a9-471f-9e8a-774bcf36d58b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,35.0,331900000.0,11616500000.0,537719000.0,11078781000.0,303688000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
73c7a052-a1ff-48fc-a2a5-0b62ecf4d42c,8d4cdaa5-719c-4657-a38c-ebb36084004a,9a1de644-815e-46d1-bb8f-aa1837f8a88b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,35.0,255100000.0,8928500000.0,418428000.0,8510072000.0,234030000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
d53187a5-b368-4a24-b451-f36c949442f4,7259397c-1f14-413c-86d6-c31ba0bc3c69,1a2a73ed-562b-4f79-8374-59eef50bea63,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,35.0,336800000.0,11788000000.0,315665000.0,11472335000.0,315610000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1e4bc2fc-459e-4234-8ab0-79c9b9f4b14e,5cd0359f-1a40-4446-a87b-cdebce03d4c0,47378190-96da-4dac-b2ff-5d2a386ecbe0,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,17.5,330100000.0,5776750000.0,219730000.0,5557020000.0,294996000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7fc01356-1002-4813-bd8c-d213b64ef7ae,5cd0359f-1a40-4446-a87b-cdebce03d4c0,c241330b-01a9-471f-9e8a-774bcf36d58b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,12.5,345100000.0,4313750000.0,164082000.0,4149668000.0,312198000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
90476877-2727-4498-836c-7a410cc46732,5cd0359f-1a40-4446-a87b-cdebce03d4c0,6b65a6a4-8b81-48f6-b38a-088ca65ed389,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,15.0,324100000.0,4861500000.0,184917000.0,4676583000.0,292434000.0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b1a7a64f-738c-4566-87c0-4e6ce8efc4bb,4abf432e-5943-4127-b073-01a4ae7d7081,ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,10.0,257500000.0,2575000000.0,55744000.0,2519256000.0,235376000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1d4adfa1-f814-494c-a276-9aa05b715f52,fe598823-53a4-45b6-b2b3-6c45d525e946,4b0dbb41-8d52-48f1-942c-3fe860e7a113,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,6.0,468700000.0,2812200000.0,84216000.0,2727984000.0,410994000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
769b5877-36f0-4fe7-ae6a-e1a627dffdad,fe598823-53a4-45b6-b2b3-6c45d525e946,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,4.0,462100000.0,1848400000.0,55354000.0,1793046000.0,402144000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
